iter	RMSE
0	489673.173
1	461952.0818
2	436258.8726
3	410912.6185
4	387934.2745
5	366400.7412
6	346944.3825
7	329351.5932
8	311927.3984
9	295251.8406
10	279905.1652
11	264863.835
12	251856.9185
13	240399.4581
14	228395.8029
15	217415.1628
16	207325.6194
17	197436.8372
18	189083.9558
19	180765.6625
20	172767.4056
21	165641.6233
22	158990.8179
23	152738.5299
24	147023.8136
25	141502.231
26	136187.1619
27	131653.6417
28	127314.8583
29	123192.2544
30	119552.2885
31	116089.2405
32	112836.0886
33	109406.7648
34	106413.9472
35	103760.0721
36	101167.6024
37	98833.50054
38	96912.67921
39	94549.08182
40	92349.33305
41	90367.9013
42	88475.3226
43	86958.01148
44	85601.53384
45	83997.42536
46	82406.35025
47	81173.14204
48	79568.84501
49	78307.3174
50	77040.03381
51	75958.28839
52	75050.57413
53	74073.76388
54	73280.37388
55	72310.96221
56	71319.28943
57	70389.91605
58	69449.81756
59	68712.75524
60	67933.74445
61	67156.29677
62	66527.9192
63	66005.19942
64	65461.24053
65	64863.99925
66	64145.22807
67	63514.54238
68	63085.13921
69	62659.37724
70	62363.28312
71	61780.4246
72	61345.40691
73	61029.81355
74	60806.546
75	60347.26857
76	59806.90595
77	59595.28204
78	59152.76884
79	58920.00855
80	58724.5861
81	58436.43488
82	58013.56075
83	57854.62194
84	57592.7235
85	57305.06072
86	56973.07099
87	56792.42859
88	56699.95123
89	56487.58288
90	55990.93075
91	55801.12893
92	55677.27264
93	55548.40529
94	55439.26605
95	55190.25741
96	54744.17261
97	54592.28727
98	54095.92747
99	53941.02528
100	53819.1926
101	53549.45596
102	53445.32194
103	53349.65299
104	53091.61421
105	52979.70177
106	52716.38729
107	52484.3542
108	52226.13163
109	51953.37139
110	51817.39019
111	51779.86426
112	51455.75327
113	51328.53591
114	51069.23489
115	50808.05992
116	50336.15595
117	50301.00116
118	50246.75881
119	50160.43944
120	49887.34201
121	49815.42263
122	49741.20131
123	49548.58558
124	49326.9003
125	49056.8961
126	48528.24228
127	48509.42087
128	48365.76733
129	48130.41317
130	48027.73678
131	47869.14508
132	47764.69336
133	47298.46518
134	47245.2996
135	46818.06685
136	46724.36741
137	46312.96155
138	46102.42331
139	46005.01032
140	45851.53217
141	45462.45591
142	45378.88268
143	45312.27394
144	45116.25833
145	44664.12785
146	44300.2142
147	44104.12015
148	43935.72357
149	43864.42894
150	43649.33485
151	43551.0044
152	43383.7404
153	43110.90943
154	43007.73482
155	42983.48132
156	42930.35159
157	42634.0916
158	42432.88956
159	42232.90738
160	42150.35342
161	41628.11664
162	41438.88794
163	41263.76255
164	40778.1098
165	40702.92014
166	40411.95747
167	40008.17958
168	39622.88255
169	39415.47557
170	39393.5902
171	39288.72681
172	39246.17945
173	39192.35107
174	38767.831
175	38679.5758
176	38323.97356
177	38231.635
178	37940.31951
179	37881.30745
180	37751.92348
181	37703.17096
182	37675.50162
183	37639.29455
184	37372.79457
185	37234.43808
186	37116.55386
187	36803.63834
188	36507.85648
189	36211.40133
190	36188.2316
191	36140.61376
192	35866.94065
193	35482.72325
194	35120.35281
195	35079.52524
196	34737.9431
197	34694.09395
198	34409.10212
199	34371.81801
200	34343.45837
201	34023.19356
202	33972.48168
203	33670.72089
204	33635.99966
205	33612.17864
206	33598.42554
207	33529.40726
208	33317.92206
209	33053.08589
210	32799.43666
211	32525.59227
212	32494.36847
213	32303.12698
214	31997.74554
215	31967.90093
216	31945.51642
217	31932.88394
218	31655.67501
219	31634.33378
220	31619.15326
221	31593.7094
222	31573.07817
223	31345.21682
224	31087.55377
225	31044.81521
226	30797.63756
227	30701.14854
228	30678.93042
229	30647.89071
230	30521.31315
231	30417.47953
232	30394.86772
233	30384.59581
234	30152.17992
235	30129.27844
236	30080.40177
237	29863.08473
238	29786.99029
239	29515.95121
240	29284.95244
241	29093.05275
242	28893.89531
243	28664.21312
244	28645.43304
245	28431.39337
246	28380.71134
247	28178.46226
248	28160.22126
249	27949.57096
250	27910.26424
251	27680.72228
252	27664.43068
253	27621.04391
254	27594.06064
255	27420.20677
256	27403.29089
257	27324.90248
258	27240.50375
259	27182.32077
260	27169.46869
261	27136.88785
262	26972.48222
263	26829.25356
264	26778.45549
265	26590.61182
266	26505.73121
267	26483.23679
268	26436.12014
269	26364.22605
270	26302.56753
271	26234.72446
272	26119.49479
273	26109.95428
274	26095.30701
275	26033.45967
276	25929.85327
277	25769.92833
278	25619.08769
279	25527.03215
280	25350.83777
281	25182.98329
282	25132.51852
283	24898.80426
284	24868.97979
285	24859.22669
286	24845.95014
287	24680.44914
288	24634.50045
289	24590.70003
290	24468.15805
291	24455.48291
292	24298.05349
293	24122.17784
294	24080.8968
295	24073.94197
296	24062.09719
297	24024.63823
298	24010.25387
299	23899.70372
300	23753.71291
301	23711.70167
302	23584.71599
303	23435.70783
304	23428.03622
305	23295.04426
306	23261.65465
307	23255.36835
308	23140.34437
309	23106.97892
310	23100.39271
311	23041.5094
312	22946.22715
313	22891.36294
314	22860.51378
315	22854.8311
316	22721.13577
317	22599.77326
318	22570.39334
319	22552.6301
320	22405.35138
321	22271.14092
322	22155.35464
323	22107.54236
324	22095.78202
325	21989.91208
326	21947.831
327	21941.96824
328	21897.39856
329	21846.61919
330	21716.61529
331	21697.50138
332	21569.07168
333	21545.99011
334	21499.68943
335	21487.08676
336	21440.27601
337	21430.10163
338	21400.80688
339	21357.8743
340	21313.68152
341	21251.40423
342	21214.82347
343	21204.4691
344	21158.84415
345	21133.5125
346	21127.28217
347	21088.42362
348	21001.2685
349	20991.24892
350	20946.8882
351	20942.22653
352	20927.92741
353	20922.40027
354	20911.65036
355	20875.72593
356	20840.52172
357	20808.01345
358	20802.94343
359	20722.15323
360	20681.0525
361	20643.14588
362	20633.75817
363	20618.97821
364	20609.67206
365	20604.66756
366	20542.83629
367	20538.53619
368	20516.8967
369	20427.87909
370	20420.58285
371	20407.64186
372	20375.08803
373	20313.28279
374	20237.55673
375	20156.41913
376	20051.73039
377	19972.87215
378	19961.20746
379	19910.6054
380	19904.02057
381	19890.7153
382	19795.02154
383	19758.30828
384	19664.57563
385	19626.83689
386	19619.39903
387	19530.33846
388	19467.84081
389	19432.27635
390	19426.72322
391	19418.66898
392	19385.05453
393	19302.33669
394	19271.49481
395	19264.73681
396	19251.53268
397	19201.32296
398	19170.61012
399	19155.82967
400	19150.18754
401	19146.05155
402	19090.80372
403	19080.54463
404	19023.97936
405	18994.65166
406	18962.72898
407	18906.23615
408	18887.48556
409	18869.58676
410	18862.94121
411	18835.44646
412	18831.35966
413	18826.55478
414	18753.64646
415	18705.87431
416	18689.11337
417	18587.88042
418	18517.4035
419	18478.51795
420	18473.85191
421	18415.79928
422	18400.60623
423	18394.93756
424	18389.91069
425	18353.21528
426	18338.75893
427	18324.92833
428	18318.92133
429	18309.74615
430	18247.74863
431	18195.45578
432	18191.04714
433	18182.85404
434	18171.29867
435	18090.10629
436	18025.59563
437	18021.17413
438	18006.05238
439	17998.67437
440	17985.52979
441	17894.27546
442	17815.97711
443	17740.9124
444	17686.09222
445	17679.63751
446	17649.61245
447	17617.82915
448	17582.5386
449	17578.32376
450	17537.91055
451	17533.96099
452	17488.56545
453	17479.65985
454	17451.13197
455	17406.26226
456	17374.24939
457	17370.00487
458	17318.89035
459	17312.61767
460	17301.32452
461	17293.49757
462	17257.52262
463	17253.01628
464	17232.68441
465	17174.56891
466	17170.1355
467	17144.33122
468	17092.12236
469	17061.98892
470	17009.30159
471	16958.88838
472	16941.09344
473	16926.90254
474	16903.98692
475	16882.88755
476	16828.80789
477	16823.43926
478	16773.47854
479	16737.10138
480	16731.2544
481	16726.61076
482	16662.3673
483	16640.28929
484	16622.68055
485	16614.49772
486	16577.25697
487	16566.89522
488	16535.46582
489	16467.72624
490	16410.6726
491	16401.80547
492	16360.21216
493	16306.17228
494	16248.88616
495	16240.71786
496	16236.90459
497	16191.16396
498	16176.67802
499	16171.62569
500	16164.10396
501	16111.03358
502	16070.04984
503	16027.53255
504	15996.57385
505	15984.75441
506	15927.28259
507	15882.00545
508	15859.4968
509	15856.42757
510	15805.29369
511	15750.4855
512	15715.89034
513	15710.07234
514	15678.97417
515	15631.59163
516	15627.41555
517	15603.6236
518	15598.66714
519	15545.59795
520	15542.14141
521	15528.1015
522	15516.57151
523	15499.03566
524	15495.20338
525	15483.2978
526	15462.61746
527	15412.23927
528	15408.54744
529	15404.47649
530	15380.4302
531	15357.88307
532	15318.32764
533	15308.80752
534	15291.24332
535	15257.55786
536	15253.24916
537	15247.93102
538	15231.90305
539	15190.17231
540	15165.53918
541	15138.80084
542	15127.95924
543	15113.42743
544	15078.05353
545	15067.74301
546	15060.40125
547	15043.38416
548	15010.83428
549	15003.05218
550	14999.96516
551	14996.72723
552	14993.45535
553	14959.06783
554	14952.41037
555	14899.53411
556	14868.31329
557	14861.3222
558	14846.67238
559	14836.86698
560	14832.61823
561	14784.71997
562	14762.76776
563	14754.03901
564	14750.29242
565	14731.73314
566	14707.86705
567	14678.1334
568	14669.90959
569	14665.16769
570	14620.37368
571	14598.1305
572	14583.25985
573	14576.17523
574	14568.79289
575	14551.21943
576	14515.1452
577	14492.70342
578	14483.24686
579	14480.42592
580	14474.256
581	14465.43068
582	14418.07551
583	14379.27417
584	14373.05592
585	14370.39108
586	14353.35416
587	14345.13384
588	14329.53591
589	14273.60317
590	14244.56296
591	14238.96541
592	14219.79993
593	14208.44176
594	14204.83167
595	14202.17411
596	14198.55087
597	14192.58202
598	14183.60135
