iter	Passed	Remaining
0	4	4492
1	7	3596
2	9	3236
3	13	3269
4	16	3227
5	19	3304
6	22	3189
7	25	3220
8	28	3164
9	30	3048
10	32	2961
11	35	2903
12	37	2883
13	42	2997
14	46	3082
15	49	3035
16	52	3052
17	58	3186
18	60	3123
19	62	3061
20	64	3008
21	66	2963
22	68	2923
23	71	2890
24	73	2871
25	75	2845
26	77	2809
27	80	2789
28	82	2762
29	84	2734
30	86	2705
31	90	2729
32	92	2713
33	95	2701
34	97	2679
35	99	2659
36	101	2637
37	104	2633
38	106	2620
39	108	2600
40	110	2582
41	112	2561
42	114	2544
43	116	2528
44	118	2515
45	120	2507
46	123	2512
47	126	2499
48	128	2486
49	130	2475
50	132	2468
51	135	2463
52	138	2479
53	141	2477
54	143	2468
55	145	2457
56	147	2446
57	150	2440
58	152	2433
59	155	2435
60	157	2426
61	160	2429
62	163	2424
63	165	2417
64	168	2428
65	171	2425
66	173	2419
67	175	2410
68	178	2405
69	180	2396
70	182	2388
71	184	2382
72	187	2378
73	189	2372
74	191	2362
75	193	2351
76	195	2343
77	197	2333
78	200	2339
79	203	2339
80	205	2330
81	207	2321
82	209	2313
83	211	2303
84	213	2295
85	215	2287
86	217	2286
87	219	2278
88	221	2270
89	223	2261
90	225	2255
91	227	2248
92	230	2243
93	233	2252
94	235	2246
95	238	2241
96	240	2235
97	242	2231
98	244	2225
99	247	2227
100	250	2227
101	252	2222
102	254	2216
103	256	2209
104	258	2203
105	260	2199
106	262	2193
107	265	2194
108	267	2189
109	269	2182
110	271	2177
111	273	2171
112	275	2166
113	278	2161
114	280	2160
115	282	2155
116	285	2152
117	287	2146
118	289	2141
119	291	2134
120	293	2129
121	295	2123
122	297	2122
123	299	2118
124	301	2112
125	303	2107
126	305	2101
127	307	2096
128	309	2092
129	312	2090
130	314	2086
131	316	2081
132	318	2076
133	320	2072
134	322	2067
135	324	2063
136	326	2057
137	329	2055
138	331	2051
139	333	2045
140	334	2040
141	336	2035
142	338	2031
143	341	2028
144	343	2028
145	346	2024
146	348	2019
147	349	2014
148	351	2009
149	354	2006
150	356	2001
151	358	1997
152	360	1993
153	362	1992
154	364	1989
155	366	1984
156	368	1980
157	370	1976
158	372	1972
159	375	1971
160	378	1971
161	380	1969
162	382	1964
163	384	1961
164	386	1957
165	388	1953
166	391	1953
167	394	1954
168	396	1950
169	398	1947
170	401	1947
171	404	1945
172	406	1944
173	409	1942
174	411	1939
175	414	1941
176	417	1940
177	422	1952
178	426	1958
179	429	1958
180	432	1955
181	434	1953
182	439	1963
183	443	1967
184	448	1974
185	451	1973
186	453	1970
187	456	1970
188	458	1966
189	460	1963
190	464	1968
191	468	1972
192	477	1995
193	479	1991
194	481	1988
195	484	1985
196	489	1994
197	492	1995
198	495	1994
199	497	1991
200	501	1991
201	503	1988
202	505	1985
203	507	1980
204	509	1975
205	511	1970
206	513	1966
207	515	1962
208	517	1957
209	519	1955
210	522	1952
211	524	1948
212	526	1943
213	528	1939
214	529	1934
215	531	1930
216	534	1927
217	536	1924
218	538	1921
219	540	1917
220	542	1913
221	544	1908
222	546	1904
223	548	1901
224	550	1897
225	553	1894
226	555	1891
